host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count
N/A,N/A,0,1,1,"email, phone, reviews",1,0,1,Private room,2,1.5,1,1,Real Bed,$62.00 ,$150.00 ,$25.00 ,2,$50.00 ,3,10,0,0,0,0,9,98,10,10,10,10,10,10,0,0,moderate,0,0,1
100%,25%,0,2,2,"email, phone, reviews, kba",1,1,1,Private room,2,1.5,1,1,Real Bed,$69.00 ,$95.00 ,$15.00 ,1,$12.00 ,2,1125,0,12,15,15,0,,,,,,,,0,0,flexible,0,0,2
N/A,N/A,0,1,1,"email, phone, reviews, jumio",1,1,1,Private room,2,1,1,1,Real Bed,$69.00 ,,$20.00 ,1,$15.00 ,2,29,0,0,0,0,4,100,10,10,10,10,10,10,0,0,moderate,0,0,1
50%,100%,0,2,2,"email, phone, reviews, kba",1,1,1,Private room,2,2,1,1,Real Bed,$73.00 ,,$50.00 ,1,$0.00 ,1,1125,0,0,0,78,19,99,10,9,10,10,9,10,0,0,moderate,0,0,2
100%,75%,0,1,1,"email, phone, facebook, reviews",1,0,1,Private room,1,1,1,1,Real Bed,$85.00 ,,,1,$20.00 ,2,180,0,1,31,306,22,99,10,10,10,10,10,10,0,0,strict,0,0,1
100%,56%,1,4,4,"email, phone, reviews, kba",1,1,1,Private room,2,2,1,1,Real Bed,$120.00 ,$500.00 ,$80.00 ,1,$20.00 ,1,1125,4,32,62,337,17,96,9,10,10,10,10,9,0,0,strict,0,0,4
100%,100%,0,1,1,"email, phone, reviews, kba",1,1,1,Private room,2,3.5,1,2,Real Bed,$125.00 ,$100.00 ,,1,$25.00 ,2,1125,30,60,90,365,1,100,10,10,10,10,10,10,0,0,flexible,0,0,1
60%,88%,0,1,1,"email, phone, reviews, kba",1,1,1,Private room,1,1,1,1,Pull-out Sofa,$70.00 ,,,1,$0.00 ,1,1125,28,58,88,363,7,93,10,9,10,10,10,9,0,0,flexible,0,0,1
100%,0%,0,1,1,"email, phone, kba",1,0,1,Private room,2,1,1,1,Real Bed,$100.00 ,$95.00 ,$10.00 ,1,$0.00 ,1,3,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
67%,100%,0,1,1,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$61.00 ,,$10.00 ,1,$0.00 ,1,1125,0,0,0,255,7,97,10,10,10,10,10,10,0,0,moderate,0,0,1
100%,76%,0,2,2,"email, phone, reviews, kba",1,1,1,Private room,4,1,1,2,Real Bed,$125.00 ,,,2,$50.00 ,1,60,13,37,60,328,132,97,10,10,10,10,10,10,0,0,strict,0,0,2
100%,100%,0,1,1,"email, phone, facebook, reviews",1,0,1,Private room,2,1,1,1,Real Bed,$100.00 ,,,1,$0.00 ,1,1125,3,11,41,316,14,88,9,9,10,10,8,9,0,0,flexible,0,0,1
33%,100%,0,1,1,"email, phone, facebook, reviews, jumio",1,1,1,Private room,1,1,1,1,Real Bed,$27.00 ,,$5.00 ,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
90%,92%,0,1,1,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$80.00 ,,,1,$0.00 ,2,1125,0,0,0,0,12,98,10,9,10,10,10,10,0,0,flexible,0,0,1
100%,57%,0,1,1,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$85.00 ,,,1,$0.00 ,1,1125,30,60,90,365,3,100,10,10,10,10,9,9,0,0,flexible,0,0,1
100%,74%,0,1,1,"email, phone, reviews",1,0,1,Private room,3,1,1,2,Real Bed,$75.00 ,,,1,$25.00 ,1,3,28,53,83,358,43,91,9,10,10,10,9,9,0,0,flexible,0,0,1
78%,82%,0,6,6,"email, phone, reviews, jumio",1,1,0,Private room,1,1,1,1,Real Bed,$57.00 ,,,1,$0.00 ,7,1125,6,36,66,341,1,20,10,10,10,10,2,6,0,0,flexible,0,0,6
N/A,N/A,0,1,1,"email, phone, reviews, jumio",1,1,1,Private room,2,1,1,1,Real Bed,$100.00 ,,,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,moderate,0,0,1
86%,100%,0,1,1,"email, phone, reviews",1,0,1,Private room,1,1,1,1,Real Bed,$40.00 ,,$5.00 ,1,$0.00 ,1,1125,0,4,34,309,0,,,,,,,,0,0,flexible,0,0,1
67%,100%,0,1,1,"email, phone, reviews, kba",1,1,1,Private room,1,1,1,1,Real Bed,$100.00 ,,$100.00 ,1,$0.00 ,4,1125,0,0,4,279,20,98,10,10,10,10,10,10,0,0,strict,0,0,1
100%,56%,0,3,3,"email, phone, facebook, reviews, kba",1,1,1,Private room,2,2.5,1,1,Real Bed,$70.00 ,$100.00 ,$20.00 ,1,$0.00 ,1,1125,14,28,58,333,9,93,10,10,10,10,9,10,0,0,flexible,0,0,3
100%,89%,1,1,1,"email, phone, reviews, jumio",1,1,1,Entire home/apt,4,1,2,2,Real Bed,$190.00 ,,,2,$15.00 ,4,1125,0,0,14,48,26,95,10,9,10,10,9,10,0,0,moderate,0,0,1
86%,100%,0,1,1,"email, phone, reviews, jumio",1,1,0,Entire home/apt,3,1,1,1,Real Bed,$149.00 ,,$50.00 ,1,$0.00 ,7,1125,0,28,58,333,17,95,9,9,10,10,10,10,0,0,flexible,0,0,1
90%,100%,0,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,6,1,2,2,Real Bed,$168.00 ,$200.00 ,$120.00 ,1,$0.00 ,3,1125,9,29,50,285,47,94,9,10,10,10,9,9,0,0,moderate,0,0,1
100%,93%,0,2,2,"email, phone, reviews, kba",1,1,1,Entire home/apt,5,2,3,4,Real Bed,$205.00 ,,$50.00 ,1,$0.00 ,2,1125,0,0,0,257,9,87,10,9,10,10,8,9,0,0,moderate,0,0,2
100%,56%,0,3,3,"email, phone, facebook, reviews, kba",1,1,1,Private room,2,2.5,1,1,Real Bed,$65.00 ,$100.00 ,$15.00 ,1,$0.00 ,1,1125,7,26,56,331,17,92,9,9,9,10,9,9,0,0,flexible,0,0,3
80%,100%,0,1,1,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,1,1,Futon,$75.00 ,,$18.00 ,1,$0.00 ,1,1125,0,0,0,0,5,92,10,9,10,10,9,10,0,0,flexible,0,0,1
N/A,N/A,0,1,1,"email, phone, facebook, jumio",1,1,1,Entire home/apt,4,1,2,4,Real Bed,$117.00 ,,$15.00 ,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,1,flexible,0,0,1
100%,100%,0,1,1,"email, phone, facebook, reviews, kba",1,1,1,Entire home/apt,8,2,4,6,Real Bed,$429.00 ,$400.00 ,,6,$15.00 ,3,60,8,35,65,331,35,91,10,9,9,10,9,9,0,0,strict,0,1,1
90%,62%,0,1,1,"email, phone, facebook, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$95.00 ,,,1,$10.00 ,2,1125,21,51,81,356,53,95,9,9,10,9,10,9,0,0,flexible,0,0,1
80%,90%,0,2,2,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$69.00 ,,$20.00 ,1,$0.00 ,1,7,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,2
90%,69%,0,1,1,"email, phone, reviews, kba",1,1,1,Private room,2,,1,1,Real Bed,$85.00 ,,,1,$0.00 ,1,1125,26,56,86,361,17,94,10,9,10,10,10,10,0,0,moderate,0,0,1
100%,100%,1,1,1,"email, phone, facebook, reviews, kba",1,1,1,Private room,2,1,1,1,Futon,$69.00 ,,$30.00 ,1,$15.00 ,3,20,5,35,65,65,13,100,10,10,10,10,10,10,0,0,strict,0,0,1
100%,77%,0,4,4,"email, phone, reviews",1,0,1,Entire home/apt,2,1,1,1,Real Bed,$165.00 ,$800.00 ,,1,$0.00 ,2,1125,0,0,1,276,9,93,9,10,10,10,10,9,0,0,flexible,0,0,3
100%,100%,0,1,1,"email, phone, reviews",1,0,1,Entire home/apt,4,1,2,2,Real Bed,$150.00 ,$200.00 ,$50.00 ,4,$50.00 ,5,120,1,14,44,71,2,90,10,10,10,10,10,9,0,0,flexible,0,0,1
N/A,N/A,0,1,1,"email, phone, linkedin, jumio",1,1,1,Entire home/apt,7,1,4,4,Real Bed,$267.00 ,$300.00 ,$90.00 ,6,$0.00 ,1,1125,13,43,73,348,0,,,,,,,,0,1,flexible,0,0,1
100%,100%,0,1,1,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$87.00 ,$95.00 ,$25.00 ,1,$25.00 ,2,10,29,59,74,74,6,97,10,10,10,10,9,10,0,0,moderate,0,0,1
100%,100%,0,2,2,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$62.00 ,,,1,$0.00 ,2,1125,2,2,2,2,20,96,10,10,10,10,9,10,0,1,strict,0,0,2
N/A,N/A,0,1,1,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,1,1,Real Bed,$110.00 ,$200.00 ,$40.00 ,2,$10.00 ,2,1125,0,0,0,66,6,97,10,10,9,9,10,10,0,0,moderate,0,0,1
