host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count
100%,95%,0,2,2,"email, phone, reviews",1,0,1,Entire home/apt,2,1,1,1,Real Bed,$140.00 ,,,2,$15.00 ,1,1125,1,5,16,16,13,89,10,9,10,10,9,9,0,0,flexible,0,0,2
80%,50%,0,2,2,"email, phone, reviews, jumio",1,1,1,Private room,2,1,1,1,Real Bed,$80.00 ,$500.00 ,$100.00 ,1,$45.00 ,1,1125,30,55,85,360,3,87,10,9,10,9,9,9,0,0,strict,0,0,2
80%,50%,0,2,2,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,2,2,Real Bed,$250.00 ,$450.00 ,$135.00 ,1,$35.00 ,1,1125,30,60,90,365,10,90,9,10,10,9,9,9,0,0,strict,0,0,2
100%,99%,1,7,7,"email, phone, reviews, jumio, kba",1,1,1,Entire home/apt,6,1,1,4,Real Bed,$225.00 ,$500.00 ,$100.00 ,2,$35.00 ,1,1125,8,27,53,143,21,99,10,10,10,10,10,10,0,0,strict,0,0,7
97%,96%,0,1,1,"email, phone, facebook, reviews, kba",1,1,1,Entire home/apt,5,2,2,2,Real Bed,$250.00 ,$300.00 ,,1,$0.00 ,1,1125,0,7,32,122,7,97,10,10,10,10,9,10,0,1,flexible,0,0,1
100%,79%,0,1,1,"email, phone, google, reviews, jumio",1,1,1,Entire home/apt,7,2,2,4,Real Bed,$225.00 ,$500.00 ,$75.00 ,4,$25.00 ,2,1125,13,41,68,158,1,100,10,10,10,10,10,10,0,0,strict,0,0,1
69%,95%,0,2,2,"email, phone, reviews",1,0,1,Entire home/apt,4,1,1,1,Real Bed,$156.00 ,$100.00 ,$80.00 ,1,$0.00 ,2,1125,2,12,29,70,2,100,10,10,10,10,9,10,0,0,flexible,0,0,2
100%,100%,1,1,1,"email, phone, reviews, jumio",1,1,1,Entire home/apt,3,1,1,2,Real Bed,$175.00 ,$500.00 ,$100.00 ,1,$0.00 ,5,1125,4,13,33,304,23,99,10,10,10,10,10,9,0,0,strict,0,0,1
100%,95%,1,13,13,"email, phone, reviews, jumio",1,1,1,Private room,2,1,1,1,Real Bed,$100.00 ,,,1,$0.00 ,1,1125,0,0,0,119,20,100,10,10,10,10,10,10,0,0,flexible,0,0,10
0%,100%,0,2,2,"email, phone",1,0,1,Private room,1,1,1,1,Real Bed,$33.00 ,,,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
85%,100%,0,1,1,"email, phone, reviews",1,0,1,Private room,2,1,1,1,Real Bed,$103.00 ,,,1,$0.00 ,1,1125,30,60,90,365,5,84,8,9,8,10,10,8,0,0,flexible,0,0,1
100%,100%,0,2,2,"email, phone, facebook, reviews, jumio",1,1,1,Entire home/apt,4,1,1,2,Real Bed,$110.00 ,,,0,$0.00 ,5,36,0,0,0,213,0,,,,,,,,0,0,strict,0,0,2
100%,75%,0,6,6,"email, phone, facebook, reviews, jumio",1,1,0,Entire home/apt,4,1,1,1,Real Bed,$175.00 ,,,1,$0.00 ,1,1125,29,59,89,364,0,,,,,,,,0,0,flexible,0,0,2
N/A,N/A,0,1,1,"email, phone, reviews",1,0,1,Private room,2,0,1,1,Real Bed,$60.00 ,,$10.00 ,1,$20.00 ,1,1125,0,0,0,0,1,100,10,8,10,10,10,10,0,0,flexible,0,0,1
100%,87%,1,12,12,"email, phone, reviews",1,0,1,Entire home/apt,2,1,0,1,Real Bed,$175.00 ,,,2,$25.00 ,5,60,11,20,50,325,12,98,10,10,10,10,9,10,0,0,strict,0,0,12
N/A,N/A,0,1,1,"email, phone, reviews, kba",1,1,0,Private room,2,1,1,1,Real Bed,$99.00 ,,,1,$0.00 ,1,1125,0,0,0,248,0,,,,,,,,0,0,flexible,0,0,1
100%,95%,1,13,13,"email, phone, reviews, jumio",1,1,1,Private room,2,2,1,1,Real Bed,$120.00 ,,,1,$20.00 ,6,1125,0,0,0,119,25,100,10,10,10,10,10,10,0,0,flexible,0,0,10
70%,50%,0,1,1,"email, phone, facebook, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$50.00 ,,,1,$10.00 ,10,45,7,37,67,67,0,,,,,,,,0,0,moderate,0,0,1
100%,100%,0,1,1,"email, phone, reviews",0,0,1,Entire home/apt,4,1,1,2,Real Bed,$100.00 ,,,1,$25.00 ,1,1125,0,0,0,0,10,96,10,10,9,8,9,10,0,1,strict,0,0,1
100%,95%,0,2,2,"email, phone, facebook, reviews, kba",1,1,1,Entire home/apt,7,1,2,3,Real Bed,$260.00 ,$300.00 ,$50.00 ,3,$20.00 ,2,1125,20,48,77,349,49,93,10,10,10,10,9,9,0,0,strict,0,0,2
N/A,N/A,0,3,3,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$85.00 ,,,1,$0.00 ,2,1125,0,0,0,0,11,96,10,9,10,10,9,10,0,0,moderate,0,0,3
100%,100%,0,2,2,"email, phone, facebook, reviews, jumio",1,1,1,Private room,2,1,1,1,Real Bed,$93.00 ,,,1,$0.00 ,4,1125,5,21,49,324,20,95,9,9,10,10,10,9,0,0,moderate,0,0,2
90%,78%,0,6,6,"email, phone, facebook, reviews, kba",1,1,1,Private room,1,1,1,1,Real Bed,$40.00 ,$100.00 ,$50.00 ,1,$0.00 ,7,365,0,0,0,249,34,90,9,8,9,9,9,9,0,0,strict,0,0,2
N/A,N/A,0,1,1,"email, phone, reviews, jumio",1,1,1,Private room,1,2,1,1,Futon,$39.00 ,$125.00 ,$10.00 ,1,$0.00 ,1,7,0,0,0,0,1,100,10,10,10,10,10,10,0,1,strict,0,0,1
100%,100%,0,1,1,"email, phone, reviews, jumio",1,1,1,Private room,2,1,1,1,Real Bed,$85.00 ,$95.00 ,$20.00 ,3,$0.00 ,6,70,5,35,65,340,38,95,9,9,10,10,9,10,0,0,moderate,0,0,1
100%,95%,1,13,13,"email, phone, reviews, jumio",1,1,1,Private room,2,2,1,1,Real Bed,$75.00 ,,,1,$25.00 ,1,1125,0,0,0,263,68,95,10,9,10,10,10,9,0,0,strict,0,0,10
N/A,N/A,0,2,2,"email, phone, facebook, reviews, jumio, kba",1,1,1,Private room,2,1,1,1,Real Bed,$76.00 ,$200.00 ,$20.00 ,1,$0.00 ,1,1125,0,0,0,0,2,90,10,10,10,10,10,10,0,0,moderate,0,0,2
95%,99%,0,6,6,"email, phone, reviews, kba",1,1,1,Private room,1,2,1,1,Real Bed,$40.00 ,,,0,$0.00 ,1,1125,1,13,36,311,95,92,9,9,9,10,9,9,0,0,strict,0,0,6
100%,100%,0,1,1,"email, phone, reviews, kba",1,1,1,Private room,1,1,1,1,Real Bed,$50.00 ,$300.00 ,$20.00 ,1,$0.00 ,3,1125,0,0,0,0,5,88,9,8,9,10,9,10,0,0,flexible,0,0,1
100%,95%,1,13,13,"email, phone, reviews, jumio",1,1,1,Private room,2,2,1,1,Real Bed,$69.00 ,,,1,$25.00 ,1,1125,0,0,0,144,59,94,9,9,9,10,9,9,0,0,strict,0,0,10
100%,100%,0,5,5,"email, phone, reviews, jumio",1,1,1,Private room,1,1,1,1,Real Bed,$108.00 ,$500.00 ,$80.00 ,1,$70.00 ,2,28,18,48,78,78,2,60,6,6,10,10,6,6,0,0,strict,0,0,5
100%,100%,0,2,2,"email, phone",1,0,1,Private room,2,1,1,1,Real Bed,$119.00 ,,,2,$100.00 ,2,1125,13,39,69,69,0,,,,,,,,0,0,flexible,0,0,2
100%,67%,0,14,14,"email, phone, reviews, kba",1,1,1,Private room,1,1.5,1,1,Real Bed,$32.00 ,,$50.00 ,1,$0.00 ,1,1125,0,0,0,0,4,95,10,9,10,10,8,9,0,0,strict,0,0,9
100%,100%,0,1,1,"email, phone, reviews",1,0,0,Private room,2,1,1,1,Real Bed,$88.00 ,$128.00 ,$52.00 ,1,$0.00 ,1,40,0,3,3,264,2,100,10,10,10,10,10,10,0,0,moderate,0,0,1
100%,100%,0,1,1,"email, phone, reviews, jumio",1,1,1,Private room,2,1,1,1,Real Bed,$60.00 ,,,1,$10.00 ,3,1125,0,0,1,249,4,93,10,9,10,10,9,10,0,0,flexible,0,0,1
100%,82%,0,6,6,"email, phone, linkedin, reviews, jumio",1,1,1,Private room,2,1,1,1,Airbed,$130.00 ,,$50.00 ,1,$100.00 ,1,1125,29,59,89,364,0,,,,,,,,0,1,strict,0,0,4
71%,98%,0,363,363,"email, phone, reviews, manual_offline, jumio",1,1,1,Entire home/apt,2,1,0,0,Real Bed,$168.00 ,$400.00 ,$95.00 ,0,$10.00 ,3,1125,0,0,0,0,2,80,9,9,6,7,7,8,0,1,moderate,0,0,58
N/A,N/A,0,1,1,"email, phone, reviews, kba",1,1,1,Private room,1,1,1,1,Real Bed,$60.00 ,,,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
N/A,N/A,0,1,1,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$40.00 ,,,1,$0.00 ,6,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
71%,98%,0,363,363,"email, phone, reviews, manual_offline, jumio",1,1,1,Entire home/apt,2,1,1,1,Real Bed,$179.00 ,$400.00 ,$95.00 ,1,$10.00 ,3,1125,0,0,0,0,1,100,10,10,8,8,10,10,0,1,strict,0,0,58
100%,100%,0,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,6,1,3,3,Real Bed,$350.00 ,$200.00 ,$130.00 ,6,$0.00 ,2,1125,7,26,54,311,19,95,10,10,10,10,10,10,0,0,strict,0,0,1
N/A,N/A,0,4,4,"email, phone, reviews",1,0,0,Private room,2,2,1,1,Real Bed,$50.00 ,,$10.00 ,1,$10.00 ,4,1125,0,0,0,3,1,60,6,4,10,10,10,6,0,0,flexible,0,0,4
100%,100%,0,1,1,"email, phone, reviews, jumio",1,1,1,Private room,3,1,1,2,Real Bed,$70.00 ,,$15.00 ,1,$30.00 ,1,1125,14,38,68,158,45,94,9,9,9,10,10,9,0,0,moderate,0,0,1
33%,100%,0,1,1,"phone, reviews",1,0,0,Private room,2,1,1,1,Real Bed,$77.00 ,,$20.00 ,1,$20.00 ,2,1125,8,38,68,343,2,90,9,9,10,8,8,9,0,0,flexible,0,0,1
N/A,N/A,0,1,1,"email, phone",1,0,1,Entire home/apt,4,2,2,2,Real Bed,$189.00 ,$200.00 ,$50.00 ,1,$0.00 ,2,90,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
N/A,N/A,0,1,1,"email, phone, facebook, reviews, jumio",1,1,0,Entire home/apt,4,1,2,2,Real Bed,$195.00 ,,,1,$0.00 ,1,1125,0,0,0,0,1,100,10,10,10,10,10,10,0,0,flexible,0,0,1
99%,93%,0,24,24,"email, phone, reviews, kba",1,1,0,Private room,2,1,1,1,Real Bed,$72.00 ,,$30.00 ,1,$20.00 ,2,138,0,1,31,121,2,100,10,10,10,10,10,10,0,1,strict,0,0,24
100%,87%,1,12,12,"email, phone, reviews",1,0,1,Entire home/apt,3,1,1,3,Real Bed,$189.00 ,,,2,$25.00 ,3,89,3,22,47,319,12,98,10,10,10,10,9,10,0,0,strict,0,0,12
N/A,N/A,0,1,1,"email, phone",1,0,1,Entire home/apt,5,1,2,2,Real Bed,$524.00 ,,$100.00 ,1,$0.00 ,2,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
100%,100%,1,2,2,"email, phone, reviews, kba",1,1,1,Entire home/apt,2,1,0,2,Real Bed,$78.00 ,,$75.00 ,2,$20.00 ,2,1125,0,5,16,121,8,93,10,9,10,10,10,10,0,1,moderate,0,0,2
N/A,N/A,0,4,4,"email, phone, reviews",1,0,1,Private room,2,2,1,1,Real Bed,$40.00 ,,$15.00 ,1,$10.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,4
100%,67%,1,1,1,"email, phone, reviews, jumio",1,1,1,Entire home/apt,4,1,1,2,Real Bed,$210.00 ,"$1,000.00 ",$80.00 ,1,$0.00 ,2,1125,1,1,7,75,20,99,10,10,10,10,10,10,0,0,strict,0,0,1
100%,100%,1,2,2,"email, phone, reviews, kba",1,1,1,Entire home/apt,4,1,0,3,Real Bed,$95.00 ,,$75.00 ,3,$10.00 ,2,1125,0,6,33,127,103,97,10,10,10,10,10,10,0,1,moderate,0,0,2
99%,93%,0,24,24,"email, phone, reviews, kba",1,1,0,Private room,2,1,1,2,Real Bed,$79.00 ,,$30.00 ,1,$20.00 ,2,146,4,32,62,337,0,,,,,,,,0,1,strict,0,0,24
N/A,N/A,0,1,1,"email, phone, reviews",1,0,1,Private room,1,1,1,1,Real Bed,$60.00 ,,,1,$0.00 ,1,1125,0,0,0,0,2,90,9,8,9,9,9,9,0,0,flexible,0,0,1
100%,60%,0,1,1,"phone, facebook, reviews",1,0,1,Entire home/apt,4,1,2,2,Real Bed,$145.00 ,,,1,$0.00 ,2,1125,0,7,19,294,18,94,10,10,10,10,9,10,0,0,strict,0,0,1
100%,100%,0,8,8,"email, phone, facebook, reviews, jumio",1,1,1,Private room,2,2,1,1,Real Bed,$80.00 ,$100.00 ,$35.00 ,1,$0.00 ,1,1125,5,26,56,331,19,94,10,10,9,9,9,9,0,1,flexible,0,0,8
N/A,N/A,0,1,1,"email, phone, reviews, jumio",1,1,1,Private room,2,1,1,1,Real Bed,$70.00 ,,,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
100%,95%,1,13,13,"email, phone, reviews, jumio",1,1,1,Private room,2,2,1,1,Real Bed,$65.00 ,,,1,$20.00 ,1,1125,10,10,10,262,39,96,10,10,9,10,9,10,0,0,strict,0,0,10
100%,95%,1,13,13,"email, phone, reviews, jumio",1,1,1,Private room,2,2,1,1,Real Bed,$74.00 ,,,1,$25.00 ,1,1125,0,0,2,277,80,95,9,9,10,10,9,9,0,0,strict,0,0,10
100%,100%,0,2,2,"email, phone",1,0,1,Private room,2,1,1,2,Real Bed,$119.00 ,,,2,$100.00 ,2,1125,15,36,66,66,0,,,,,,,,0,0,flexible,0,0,2
99%,93%,0,24,24,"email, phone, reviews, kba",1,1,0,Private room,2,1,1,1,Real Bed,$85.00 ,,$30.00 ,1,$20.00 ,2,125,0,1,31,121,2,100,10,10,10,10,10,10,0,1,strict,0,0,24
100%,63%,0,9,9,"email, phone, reviews, kba",1,1,1,Private room,1,1.5,1,1,Real Bed,$45.00 ,,$50.00 ,1,$0.00 ,1,1125,30,60,90,365,1,100,10,10,10,10,10,10,0,0,strict,0,0,5
100%,86%,1,1,1,"email, phone, reviews, jumio",1,1,1,Private room,2,1,1,1,Real Bed,$90.00 ,,$25.00 ,1,$20.00 ,1,1125,9,29,59,334,74,96,10,9,10,10,10,9,0,0,flexible,0,0,1
N/A,N/A,0,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$100.00 ,$200.00 ,$50.00 ,2,$0.00 ,1,1125,0,0,4,274,9,91,10,10,10,10,9,9,0,0,strict,0,0,1
33%,100%,0,1,1,"email, phone",1,0,1,Private room,1,2,1,1,Real Bed,$40.00 ,,$10.00 ,1,$10.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
100%,100%,0,7,7,"email, phone, reviews, jumio",1,1,1,Entire home/apt,8,2.5,4,6,Real Bed,$550.00 ,,$200.00 ,6,$100.00 ,4,1125,22,52,82,357,6,85,8,10,10,9,9,8,0,1,strict,0,0,7
100%,67%,0,14,14,"email, phone, reviews, kba",1,1,1,Private room,1,1.5,1,1,Real Bed,$39.00 ,$700.00 ,$50.00 ,1,$0.00 ,2,360,18,48,78,353,6,87,9,9,9,10,8,9,0,0,strict,0,0,9
100%,67%,0,1,1,"email, phone, reviews",1,0,1,Private room,2,1,1,1,Real Bed,$60.00 ,$100.00 ,$25.00 ,1,$0.00 ,2,20,0,0,0,0,2,100,10,10,10,10,10,10,0,1,flexible,0,0,1
N/A,N/A,0,1,1,"email, phone",1,0,1,Private room,1,2,1,1,Real Bed,$27.00 ,,,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
100%,100%,0,8,8,"email, phone, facebook, reviews, jumio",1,1,0,Private room,2,2,1,1,Real Bed,$75.00 ,$100.00 ,$35.00 ,1,$0.00 ,1,1125,6,36,66,341,21,90,10,10,10,9,9,9,0,1,flexible,0,0,8
N/A,N/A,0,1,1,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,2,Real Bed,$60.00 ,,,1,$0.00 ,18,1125,0,0,0,0,0,,,,,,,,0,0,moderate,0,0,1
100%,100%,0,1,1,"email, phone, reviews",1,0,1,Private room,1,2,1,1,Real Bed,$45.00 ,,,1,$0.00 ,17,29,0,0,0,0,1,100,10,10,10,10,10,10,0,0,strict,0,0,1
100%,82%,0,6,6,"email, phone, linkedin, reviews, jumio",1,1,1,Shared room,1,2,1,1,Couch,$100.00 ,,$50.00 ,1,$80.00 ,1,1125,29,59,89,364,1,100,10,10,10,10,10,10,0,1,strict,0,0,4
6%,100%,0,1,1,"email, phone, jumio",1,0,1,Entire home/apt,3,1,0,2,Real Bed,$130.00 ,$100.00 ,$70.00 ,1,$0.00 ,1,1125,29,59,89,364,1,,,,,,,,0,0,flexible,0,0,1
99%,93%,0,24,24,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$79.00 ,,$30.00 ,1,$20.00 ,2,96,4,30,60,150,6,100,10,10,10,10,9,10,0,1,strict,0,0,24
33%,100%,0,1,1,"email, reviews, jumio",1,0,1,Private room,1,1,1,1,Real Bed,$90.00 ,,$20.00 ,1,$0.00 ,5,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
99%,93%,0,24,24,"email, phone, reviews, kba",1,1,0,Private room,2,1,1,1,Real Bed,$79.00 ,,$30.00 ,1,$20.00 ,2,150,5,32,62,337,0,,,,,,,,0,1,strict,0,0,24
N/A,N/A,0,1,1,"email, phone, kba",1,0,0,Entire home/apt,2,1,1,1,Real Bed,$75.00 ,,$20.00 ,2,$20.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
N/A,N/A,0,1,1,"email, phone",1,0,1,Private room,2,1,1,1,Real Bed,$58.00 ,,,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,1,flexible,0,0,1
100%,95%,1,13,13,"email, phone, reviews, jumio",1,1,1,Private room,2,2,1,1,Real Bed,$75.00 ,,,1,$25.00 ,1,1125,0,0,0,262,83,96,10,9,10,10,9,10,0,0,strict,0,0,10
92%,97%,0,1,1,"email, phone, reviews",1,0,0,Entire home/apt,2,1,1,1,Real Bed,$110.00 ,$100.00 ,$30.00 ,0,$0.00 ,1,1125,0,0,0,214,5,96,10,10,10,10,10,10,0,0,strict,0,0,1
100%,100%,0,1,1,"email, phone, reviews",1,0,1,Entire home/apt,4,1,1,2,Real Bed,$180.00 ,"$1,000.00 ",$50.00 ,1,$0.00 ,3,1125,0,0,0,259,1,100,10,10,10,10,10,10,0,0,moderate,0,0,1
95%,99%,0,6,6,"email, phone, reviews, kba",1,1,1,Private room,2,2,1,1,Real Bed,$65.00 ,,$10.00 ,1,$20.00 ,30,1125,21,51,81,356,36,87,9,9,9,10,9,9,0,0,strict,0,0,6
100%,95%,1,13,13,"email, phone, reviews, jumio",1,1,1,Private room,2,2,1,1,Real Bed,$67.00 ,,,1,$20.00 ,1,1125,0,0,0,263,66,92,9,9,10,10,9,9,0,0,strict,0,0,10
100%,94%,0,2,2,"email, phone, reviews",1,0,1,Private room,2,1,1,1,Real Bed,$99.00 ,$150.00 ,,1,$0.00 ,2,30,5,35,65,340,2,80,10,8,8,9,10,9,0,0,strict,0,0,2
100%,100%,1,2,2,"email, phone, facebook, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$80.00 ,,$10.00 ,1,$0.00 ,3,1125,0,0,0,0,1,100,10,10,10,10,10,10,0,1,strict,0,0,2
90%,42%,0,1,1,"email, phone, reviews",1,0,0,Entire home/apt,4,1,1,2,Real Bed,$135.00 ,,$34.00 ,1,$0.00 ,3,28,12,13,26,26,2,90,10,10,9,10,9,8,0,0,flexible,0,0,1
100%,67%,0,14,14,"email, phone, reviews, kba",1,1,1,Private room,1,1.5,1,1,Real Bed,$50.00 ,,$50.00 ,1,$0.00 ,1,360,0,0,0,82,2,100,10,10,10,10,10,10,0,0,strict,0,0,9
N/A,N/A,0,1,1,"email, phone, facebook, reviews",1,0,1,Entire home/apt,4,1,1,1,Real Bed,$130.00 ,,,1,$0.00 ,2,1125,0,0,0,0,5,96,10,9,10,10,10,10,0,0,flexible,0,0,1
100%,82%,0,6,6,"email, phone, linkedin, reviews, jumio",1,1,1,Private room,2,2,1,1,Real Bed,$130.00 ,,$50.00 ,1,$100.00 ,1,1125,29,57,87,362,0,,,,,,,,0,1,strict,0,0,4
N/A,N/A,0,1,1,"email, phone, reviews, weibo, jumio",1,1,1,Private room,1,1,1,1,Real Bed,$35.00 ,,,1,$0.00 ,1,1125,0,0,0,0,2,50,7,6,8,7,8,5,0,0,flexible,0,0,1
N/A,N/A,0,2,2,"email, phone, reviews",1,0,1,Entire home/apt,4,1,2,2,Real Bed,$75.00 ,$100.00 ,,4,$10.00 ,4,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,2
N/A,N/A,0,1,1,"phone, reviews",1,0,1,Private room,1,1,1,1,Real Bed,$60.00 ,,,1,$0.00 ,15,45,0,0,0,0,1,40,4,2,10,8,8,4,0,0,strict,0,0,1
100%,67%,0,14,14,"email, phone, reviews, kba",1,1,1,Private room,1,1.5,1,1,Real Bed,$58.00 ,,$50.00 ,1,$0.00 ,1,1125,30,60,90,365,5,84,10,9,9,10,9,9,0,0,strict,0,0,9
100%,100%,0,5,5,"email, phone, reviews, jumio",1,1,0,Entire home/apt,4,1,2,3,Real Bed,$208.00 ,$118.00 ,$80.00 ,3,$100.00 ,1,28,0,0,30,30,0,,,,,,,,0,0,strict,0,0,5
67%,50%,0,1,1,"email, phone, reviews",1,0,1,Entire home/apt,3,1,0,2,Real Bed,$75.00 ,,$100.00 ,1,$0.00 ,7,80,0,0,0,0,1,80,10,10,10,10,10,10,0,0,flexible,0,0,1
100%,100%,0,8,8,"email, phone, facebook, reviews, jumio",1,1,1,Private room,2,2,1,1,Real Bed,$70.00 ,$100.00 ,$35.00 ,0,$0.00 ,1,1125,0,0,0,272,38,94,10,9,10,10,9,9,0,1,flexible,0,0,8
100%,100%,0,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,3,1,1,1,Real Bed,$295.00 ,$250.00 ,$25.00 ,1,$0.00 ,1,365,10,40,70,345,31,96,10,10,10,10,9,9,0,0,moderate,1,1,1
100%,75%,0,6,6,"email, phone, facebook, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$150.00 ,$350.00 ,$75.00 ,2,$0.00 ,5,30,30,60,90,365,7,86,7,8,9,10,9,8,0,0,strict,0,0,2
100%,100%,0,1,1,"email, phone, reviews",1,0,1,Entire home/apt,2,1,1,1,Futon,$65.00 ,,$5.00 ,1,$0.00 ,3,90,0,0,0,3,9,77,8,7,9,9,9,9,0,0,flexible,0,0,1
100%,83%,0,1,1,"email, phone, facebook, reviews, jumio",1,1,1,Entire home/apt,4,1,1,1,Real Bed,$175.00 ,$100.00 ,$50.00 ,2,$15.00 ,2,1125,1,4,7,198,8,98,10,10,10,10,10,10,0,0,strict,0,0,1
N/A,N/A,0,1,1,"email, phone, facebook, reviews",1,0,1,Entire home/apt,2,1,1,1,Real Bed,$175.00 ,,$30.00 ,2,$25.00 ,2,2,0,0,0,0,3,87,9,10,9,9,9,10,0,0,moderate,0,0,1
100%,42%,0,4,4,"email, phone, reviews",1,0,1,Private room,4,0,1,2,Real Bed,$100.00 ,,,1,$0.00 ,1,60,3,13,43,43,14,70,7,7,9,9,8,7,0,0,flexible,0,0,4
100%,42%,0,4,4,"email, phone, reviews",1,0,1,Entire home/apt,5,1,2,4,Real Bed,$250.00 ,,,1,$0.00 ,4,365,3,13,43,43,0,,,,,,,,0,0,strict,0,0,4
92%,91%,1,2,2,"email, phone, reviews, kba",1,1,1,Entire home/apt,4,1,2,2,Real Bed,$187.00 ,$100.00 ,$40.00 ,0,$0.00 ,1,10,0,0,1,1,21,92,10,10,10,10,10,9,0,1,strict,0,0,2
100%,42%,0,4,4,"email, phone, reviews",1,0,1,Private room,2,1,1,1,Real Bed,$80.00 ,,,1,$0.00 ,1,730,3,3,3,243,1,60,10,4,4,6,8,8,0,0,strict,0,0,4
90%,95%,0,1,1,"email, phone, reviews",1,0,0,Private room,2,1,1,1,Real Bed,$70.00 ,,$5.00 ,1,$0.00 ,1,3,2,23,53,328,22,93,10,10,10,9,9,9,0,0,flexible,0,0,1
100%,42%,0,4,4,"email, phone, reviews",1,0,1,Private room,1,1,1,1,Real Bed,$115.00 ,,,1,$0.00 ,1,90,3,13,43,43,2,60,6,5,8,8,8,7,0,0,moderate,0,0,4
10%,83%,0,2,2,"email, phone, reviews, weibo, jumio",1,1,0,Entire home/apt,2,1,1,1,Real Bed,$185.00 ,$100.00 ,$25.00 ,1,$0.00 ,2,1000,29,59,89,89,0,,,,,,,,0,0,strict,0,0,2
100%,96%,0,2,2,"email, phone, facebook, reviews, jumio",1,1,1,Entire home/apt,7,1,2,3,Real Bed,$260.00 ,$300.00 ,$50.00 ,3,$20.00 ,2,1125,20,48,77,349,35,94,10,10,10,9,9,9,0,0,strict,0,0,2
100%,100%,1,2,2,"email, phone, facebook, reviews, kba",1,1,1,Entire home/apt,5,1,2,2,Real Bed,$175.00 ,,$20.00 ,1,$0.00 ,2,1125,0,0,0,0,2,70,10,6,8,10,8,8,0,0,strict,0,0,2
100%,100%,1,1,1,"email, phone, reviews, kba",1,1,0,Entire home/apt,6,1,3,4,Real Bed,$140.00 ,$200.00 ,$70.00 ,4,$50.00 ,2,29,6,17,38,124,30,96,10,10,10,10,9,10,0,0,moderate,0,0,1
100%,98%,0,3,3,"email, phone, reviews, jumio",1,1,1,Private room,2,1,1,1,Real Bed,$80.00 ,,$25.00 ,1,$10.00 ,1,1125,7,7,22,22,9,91,9,9,10,10,9,9,0,1,strict,0,0,3
71%,98%,0,363,363,"email, phone, reviews, manual_offline, jumio",1,1,1,Entire home/apt,6,2,2,2,Real Bed,$259.00 ,$300.00 ,$95.00 ,2,$10.00 ,3,1125,1,1,1,1,3,93,10,10,9,9,10,10,0,1,strict,0,0,58
N/A,N/A,0,1,1,"email, phone, reviews",1,0,1,Private room,1,1,1,1,Real Bed,$120.00 ,,,1,$0.00 ,1,1125,0,0,0,0,1,80,10,10,10,10,10,10,0,0,strict,0,0,1
100%,100%,0,5,5,"email, phone, reviews, jumio",1,1,0,Private room,2,1,1,1,Real Bed,$108.00 ,$100.00 ,$50.00 ,1,$88.00 ,7,28,0,9,39,39,0,,,,,,,,0,0,strict,0,0,5
N/A,N/A,0,1,1,"email, phone, reviews",1,0,1,Private room,1,1,1,1,Real Bed,$90.00 ,,,1,$0.00 ,1,1125,0,0,0,0,1,100,10,10,10,10,10,10,0,0,flexible,0,0,1
